	Score	Sent1	Sent2
0	5.0	Un avion decoleaza.	Un avion este in curs de decolare.
1	3.8	Un barbat canta la un flaut mare.	Un barbat canta la un flaut.
2	3.8	Un barbat pune branza maruntita pe o pizza.	Un barbat pune branza maruntita pe o pizza negatita.
3	2.6	Trei barbati joaca sah.	Doi barbati joaca sah.
4	4.25	Un barbat canta la violoncel.	Un barbat stand jos canta la violoncel.
5	4.25	Niste barbati se lupta.	Doi barbati se lupta.
6	0.5	Un barbat fumeaza.	Un barbat patineaza.
7	1.6	Barbatul canta la pian.	Barbatul canta la o chitara.
8	2.2	Un barbat canta la chitara si voce.	O femeie canta la chitara acustica si voce.
9	5.0	O persoana arunca o pisica spre tavan.	O persoana arunca o pisica catre tavan.
10	4.2	Barbatul l-a lovit pe celalalt barbat cu un bat.	Barbatul l-a plesnit pe celalalt barbat cu un bat.
11	4.6	O femeie ridica si tine un pui de cangur.	O femeie ridica si tine in brate un pui de cangur.
12	3.867	Un barbat canta la un flaut.	Un barbat canta la un flaut de bambus.
13	4.667	O persoana impatureste o bucata de hartie.	Cineva impatureste o bucata de hartie.
14	1.667	Un barbat alearga pe drum.	Un caine panda alearga pe drum.
15	3.75	Un caine incearca sa dea jos sunca de pe spatele lui.	Un caine incearca sa manance sunca de pe spatele lui.
16	5.0	Ursul polar aluneca pe zapada.	Un urs polar aluneca de-a lungul zapadezii.
17	0.5	O femeie scrie.	O femeie inoata.
18	3.8	O pisica se freaca de fata bebelusului.	O pisica se freaca de un bebelus.
19	5.0	Barbatul calareste un cal.	Un barbat calareste pe un cal.
20	3.2	Un barbat toarna ulei intr-o oala.	Un barbat toarna vin intr-o oala.
21	2.8	Un barbat canta la o chitara.	O fata canta la o chitara.
22	4.6	Un panda aluneca pe un tobogan.	Un panda aluneca pe un tobogan.
23	3.0	O femeie mananca ceva.	O femeie mananca carne.
24	5.0	O femeie curata un cartof.	O femeie curata un cartof.
25	4.8	Baiatul a cazut de pe bicicleta.	Un baiat cade de pe bicicleta.
26	5.0	Femeia canta la flaut.	O femeie canta la un flaut.
27	4.2	Un iepure fuge de un vultur.	Un iepure de camp fuge de un vultur.
28	4.2	Femeia prajeste un cotlet de porc.	O femeie gateste un cotlet de porc.
29	4.0	O fata inalta un zmeu.	O fata alearga si inalta un zmeu.
30	4.0	Un barbat calareste un taur mecanic.	Un barbat a calarit un taur mecanic.
31	4.909	Barbatul canta la chitara.	Un barbat canta la o chitara.
32	3.0	O femeie danseaza si canta cu alte femei.	O femeie danseaza si canta in ploaie.
33	2.4	Un barbat taie o chifla.	Un barbat taie o ceapa.
34	4.2	Un barbat toarna ulei intr-o tigaie.	Un barbat toarna ulei intr-o cratita.
35	3.4	Un leu se joaca cu niste oameni.	Un leu se joaca cu doi barbati.
36	5.0	Un caine merge pe skateboard.	Un caine merge pe un skateboard.
37	3.75	Cineva sculpteaza o statuie.	Un barbat sculpteaza o statuie.
38	2.75	O femeie taie o ceapa.	Un barbat taie o ceapa.
39	5.0	O femeie curata creveti.	O femeie curata creveti.
40	4.0	O femeie prajeste peste.	O femeie gateste peste.
41	3.6	O femeie canta la o chitara electrica.	O femeie canta la o chitara.
