id,source,text_nodiac,text_diac,n_words,n_diac_restored
151189,unknown_local_sample,"Are un salariu de 13.050 de lei, platit din banii statului.","Are un salariu de 13.050 de lei, plătit din banii statului.",11,1
24105,unknown_local_sample,Acest tip de chist se rezolva in cel mult cateva luni.,Acest tip de chist se rezolvă în cel mult câteva luni.,11,3
334539,unknown_local_sample,Intre unul si altul este diversitate d-opiniune asupra mijloacelor fara a se atribui veriunuia din ei macula de nesinceritate.,Între unul și altul este diversitate d-opiniune asupra mijloacelor fără a se atribui veriunuia din ei macula de nesinceritate.,19,4
180826,unknown_local_sample,Nu indraznea sa se agate tam-nisam de oameni.,Nu îndrăznea să se agațe tam-nisam de oameni.,8,4
353212,unknown_local_sample,Orinduitul mumbasir tutungi-basa al mariei-sale au adus pe acesti mai jos inaintea mea.,Orînduitul mumbașir tutungi-bașa al măriei-sale au adus pe acești mai jos înaintea mea.,13,6
17015,unknown_local_sample,"Cumparatorii de buna credinta vor trebui sa se indrepte catre persoanele care au savarsit infractiunile Conform unui proiect de lege vazut de ZF, denumit <<legea privind masuri pentru protejarea intereselor economice ale statului>>, la articolul 12 se face referire despre titlurile de despagubire si titlurile de conversie valorificate prin actiuni emise de Fondul Proprietatea, dobandite prin actiuni savarsite in procedura de acordare a despagubirilor aferente imobilelor preluate in mod abuziv la titlul VII din legea 247/2005 privind reforma in domeniile proprietatii si justitiei, precum si unele masuri adiacente, cu modificarile ulterioare, sunt lovite de nulitate absoluta.","Cumpăratorii de bună credință vor trebui să se îndrepte către persoanele care au săvârșit infracțiunile Conform unui proiect de lege văzut de ZF, denumit <<legea privind măsuri pentru protejarea intereselor economice ale statului>>, la articolul 12 se face referire despre titlurile de despăgubire și titlurile de conversie valorificate prin acțiuni emise de Fondul Proprietatea, dobândite prin acțiuni săvârșite în procedura de acordare a despăgubirilor aferente imobilelor preluate în mod abuziv la titlul VII din legea 247/2005 privind reforma în domeniile proprietății și justiției, precum și unele măsuri adiacente, cu modificările ulterioare, sunt lovite de nulitate absolută.",96,33
256744,unknown_local_sample,"Visul cind s-ar intimpla, Eu de pe tron as cadea S-un alt imparat ca mine Nici veti mai gasi pe lume.","Visul cînd s-ar întîmpla, Eu de pe tron aș cădea Ș-un alt împărat ca mine Nici veți mai găsi pe lume.",21,10
31360,unknown_local_sample,"Decorul (Romulus Boicu) este structurat pe cele doua planuri specifice regizorului, realitate/irealitate, conturind un univers casnic, cu aparatura si mobile de familie, gradini si peluze bine ingrijite, cu masini si garaje, dar si o sectiune de padure incetosata la inaltime, care trimite la o lume misterioasa, de afara si de deasupra, in care se ghiceste libertatea.","Decorul (Romulus Boicu) este structurat pe cele două planuri specifice regizorului, realitate/irealitate, conturînd un univers casnic, cu aparatură și mobile de familie, grădini și peluze bine îngrijite, cu mașini și garaje, dar și o secțiune de pădure încețoșată la înălțime, care trimite la o lume misterioasă, de afară și de deasupra, în care se ghicește libertatea.",56,24
348358,unknown_local_sample,Pe tonurile duioase si intunecate ale trimbitei metalice se juca o veselie saltareata.,Pe tonurile duioase și întunecate ale trîmbiței metalice se juca o veselie săltăreață.,13,8
227353,unknown_local_sample,Viesperoaica fugi cu o falca in cer si cu alta in pamint.,Viesperoaica fugi cu o falcă în cer și cu alta în pămînt.,12,6
15296,unknown_local_sample,"In aceste conditii, companiile au fost duse inainte de ambitie, de determinare, de dorinta de a nu esua.","În aceste condiții, companiile au fost duse înainte de ambiție, de determinare, de dorința de a nu eșua.",18,6
316569,unknown_local_sample,Marin... se asezase in fotoliul din dreapta.,Marin... se așezase în fotoliul din dreapta.,7,2
339889,unknown_local_sample,Rugina mananca fierul. Apa a mancat malul.,Rugina mănâncă fierul. Apa a mâncat malul.,7,4
59091,unknown_local_sample,"Am refuzat legionarii, am refuzat si pe Antonescu.","Am refuzat legionarii, am refuzat și pe Antonescu.",8,1
5490,unknown_local_sample,”Statele Unite au atras atentia in mod repetat liderilor Guvernului Regional al kurzilor ca referendumul le va distrage atentia de la eforturile pentru combaterea SI si de la incercarea de a stabiliza regiunea.,”Statele Unite au atras atenția în mod repetat liderilor Guvernului Regional al kurzilor că referendumul le va distrage atenția de la eforturile pentru combaterea SI și de la încercarea de a stabiliza regiunea.,33,6
215543,unknown_local_sample,Ministrul Justitiei i-a reprosat procurorului sef DNA ca nu a primit nici pana acum raportul privind activitatea institutiei.,Ministrul Justiției i-a reproșat procurorului șef DNA că nu a primit nici până acum raportul privind activitatea instituției.,18,7
134313,unknown_local_sample,"de lei. Compania dezvolta, produce si comercializeaza semifabricate, componente si sisteme din otel pentru constructti, inginerie si industrie, domeniul constructiilor avand in prezent cea mai mare pondere in vanzari.","de lei. Compania dezvoltă, produce și comercializează semifabricate, componente și sisteme din oțel pentru constructți, inginerie și industrie, domeniul construcțiilor având în prezent cea mai mare pondere în vânzări.",29,13
187265,unknown_local_sample,Paralela 45 asteapta afaceri de 60 mil.,Paralela 45 așteaptă afaceri de 60 mil.,7,2
121820,unknown_local_sample,"Licitatii trucate la Metrorex: Un fost director si un om de afaceri, condamnati cu suspendare astazi, 17:33 Autori: Mihaela Gidei , Mediafax Fostul director in cadrul Metrorex Valeriu Picu si afaceristul Ovidiu Bancescu au fost condamnati definitiv la inchisoare cu suspendare de catre Curtea de Apel Bucuresti in dosarul privind trucarea licitatiei de achizitie a trenurilor pentru Magistrala 5 Drumul Taberei - Pantelimon.","Licitații trucate la Metrorex: Un fost director și un om de afaceri, condamnați cu suspendare astăzi, 17:33 Autori: Mihaela Gidei , Mediafax Fostul director în cadrul Metrorex Valeriu Picu și afaceristul Ovidiu Băncescu au fost condamnați definitiv la închisoare cu suspendare de către Curtea de Apel București în dosarul privind trucarea licitației de achiziție a trenurilor pentru Magistrala 5 Drumul Taberei - Pantelimon.",63,14
117366,unknown_local_sample,Niciodata nivelul mediu al tinerilor scoliti pe sfert sau pe jumatate n-a fost mai ingrijorator.,Niciodată nivelul mediu al tinerilor școliți pe sfert sau pe jumătate n-a fost mai îngrijorător.,15,6
