id,source,input,target,input_clean,target_clean,stripped_target,exact_after_cleaning,whitespace_difference,audit_reason,is_valid_pair,input_before_n_chars,input_before_n_nfd_codepoints,input_before_n_combining_in_raw,input_before_n_legacy_cedilla,input_before_n_nbsp,input_before_n_unusual_punct,input_before_is_nfc,input_before_is_nfd,target_before_n_chars,target_before_n_nfd_codepoints,target_before_n_combining_in_raw,target_before_n_legacy_cedilla,target_before_n_nbsp,target_before_n_unusual_punct,target_before_is_nfc,target_before_is_nfd,input_after_n_chars,input_after_n_nfd_codepoints,input_after_n_combining_in_raw,input_after_n_legacy_cedilla,input_after_n_nbsp,input_after_n_unusual_punct,input_after_is_nfc,input_after_is_nfd,target_after_n_chars,target_after_n_nfd_codepoints,target_after_n_combining_in_raw,target_after_n_legacy_cedilla,target_after_n_nbsp,target_after_n_unusual_punct,target_after_is_nfc,target_after_is_nfd
128284,unknown_local_sample,"  10.  Bogatia populatiei Cu o bogatie de 17.000 de euro per locuitor, un cetatean roman este de zece ori mai sarac decat unul german.","  10.  Bogăția populației Cu o bogăție de 17.000 de euro per locuitor, un cetățean român este de zece ori mai sărac decât unul german.","10. Bogatia populatiei Cu o bogatie de 17.000 de euro per locuitor, un cetatean roman este de zece ori mai sarac decat unul german.","10. Bogăția populației Cu o bogăție de 17.000 de euro per locuitor, un cetățean român este de zece ori mai sărac decât unul german.","10. Bogatia populatiei Cu o bogatie de 17.000 de euro per locuitor, un cetatean roman este de zece ori mai sarac decat unul german.",True,True,whitespace,False,134,0,0,0,0,0,True,True,134,10,0,0,2,0,True,False,131,0,0,0,0,0,True,True,131,10,0,0,0,0,True,False
211733,unknown_local_sample," ""Pentru ca banii sunt atat de ieftini, multi fara talent au intrat in sector cu un nivel extrem de ridicat de indatorare"", a declarat acesta."," ""Pentru că banii sunt atât de ieftini, mulți fără talent au intrat în sector cu un nivel extrem de ridicat de îndatorare"", a declarat acesta.","""Pentru ca banii sunt atat de ieftini, multi fara talent au intrat in sector cu un nivel extrem de ridicat de indatorare"", a declarat acesta.","""Pentru că banii sunt atât de ieftini, mulți fără talent au intrat în sector cu un nivel extrem de ridicat de îndatorare"", a declarat acesta.","""Pentru ca banii sunt atat de ieftini, multi fara talent au intrat in sector cu un nivel extrem de ridicat de indatorare"", a declarat acesta.",True,True,whitespace,False,142,0,0,0,0,0,True,True,142,7,0,0,1,0,True,False,141,0,0,0,0,0,True,True,141,7,0,0,0,0,True,False
212445,unknown_local_sample,"    In Tulcea si Vaslui capitalul romanesc are peste 90%   Capitalul privat romanesc are cea mai mare pondere, de peste 90%, in doua dintre cele mai slab dezvoltate din punct de vedere economic judete ale Romaniei: Tulcea si Vaslui.","    În Tulcea și Vaslui capitalul românesc are peste 90%   Capitalul privat românesc are cea mai mare pondere, de peste 90%, în două dintre cele mai slab dezvoltate din punct de vedere economic județe ale României: Tulcea și Vaslui.","In Tulcea si Vaslui capitalul romanesc are peste 90% Capitalul privat romanesc are cea mai mare pondere, de peste 90%, in doua dintre cele mai slab dezvoltate din punct de vedere economic judete ale Romaniei: Tulcea si Vaslui.","În Tulcea și Vaslui capitalul românesc are peste 90% Capitalul privat românesc are cea mai mare pondere, de peste 90%, în două dintre cele mai slab dezvoltate din punct de vedere economic județe ale României: Tulcea și Vaslui.","In Tulcea si Vaslui capitalul romanesc are peste 90% Capitalul privat romanesc are cea mai mare pondere, de peste 90%, in doua dintre cele mai slab dezvoltate din punct de vedere economic judete ale Romaniei: Tulcea si Vaslui.",True,True,whitespace,False,232,0,0,0,0,0,True,True,232,9,0,0,3,0,True,False,226,0,0,0,0,0,True,True,226,9,0,0,0,0,True,False
161735,unknown_local_sample,Restaurantul din Arad situat in zona de food-court din Atrium Mall este a doua unitate pe care KFC a deschis-o in acest oras si odata cu inaugurarea sa vor fi  create 40 noi locuri de munca.,Restaurantul din Arad situat în zona de food-court din Atrium Mall este a doua unitate pe care KFC a deschis-o în acest oraș și odată cu inaugurarea sa vor fi  create 40 noi locuri de muncă.,Restaurantul din Arad situat in zona de food-court din Atrium Mall este a doua unitate pe care KFC a deschis-o in acest oras si odata cu inaugurarea sa vor fi create 40 noi locuri de munca.,Restaurantul din Arad situat în zona de food-court din Atrium Mall este a doua unitate pe care KFC a deschis-o în acest oraș și odată cu inaugurarea sa vor fi create 40 noi locuri de muncă.,Restaurantul din Arad situat in zona de food-court din Atrium Mall este a doua unitate pe care KFC a deschis-o in acest oras si odata cu inaugurarea sa vor fi create 40 noi locuri de munca.,True,True,whitespace,False,190,0,0,0,0,0,True,True,190,6,0,0,1,0,True,False,189,0,0,0,0,0,True,True,189,6,0,0,0,0,True,False
90408,unknown_local_sample,"  Pe ianuarie si februarie, cumulat, veniturile stranse de ANAF au insemnat 32 de miliarde de lei, ceea ce reprezinta o diminuare cu 0,9% a veniturile fiscale fata de perioada similara a anului trecut.","  Pe ianuarie și februarie, cumulat, veniturile strânse de ANAF au însemnat 32 de miliarde de lei, ceea ce reprezintã o diminuare cu 0,9% a veniturile fiscale față de perioada similară a anului trecut.","Pe ianuarie si februarie, cumulat, veniturile stranse de ANAF au insemnat 32 de miliarde de lei, ceea ce reprezinta o diminuare cu 0,9% a veniturile fiscale fata de perioada similara a anului trecut.","Pe ianuarie și februarie, cumulat, veniturile strânse de ANAF au însemnat 32 de miliarde de lei, ceea ce reprezintã o diminuare cu 0,9% a veniturile fiscale față de perioada similară a anului trecut.","Pe ianuarie si februarie, cumulat, veniturile stranse de ANAF au insemnat 32 de miliarde de lei, ceea ce reprezintã o diminuare cu 0,9% a veniturile fiscale fata de perioada similara a anului trecut.",False,False,spelling,False,201,0,0,0,0,0,True,True,201,7,0,0,1,0,True,False,199,0,0,0,0,0,True,True,199,7,0,0,0,0,True,False
10310,unknown_local_sample,"Ce au invatat in primii cinci ai de activitate antreprenoriala cativa dintre oamenii de afaceri de pe piata locala? Bibiana Stanciulov, antreprenoarea care a pus bazele brandului Magiun de Prune de Topoloveni (operat de compania Sonimpex Topoloveni) spune ca in primii cinci ani de activitate ai firmei, respectiv intre 1993 si 1998, a avut parte de cateva lectii despre care spune ca „acum mi se par glume”: 1. Partenerii de afaceri trebuie bine verificati deoarece exista riscul unor mari inselaciuni.","Ce au învățat în primii cinci ai de activitate antreprenorială câțiva dintre oamenii de afaceri de pe piața locală? Bibiana Stanciulov, antreprenoarea care a pus bazele brandului Magiun de Prune de Topoloveni (operat de compania Sonimpex Topoloveni) spune că în primii cinci ani de activitate ai firmei, respectiv între 1993 și 1998, a avut parte de câteva lecții despre care spune că „acum mi se par glume”: 1. Partenerii de afaceri trebuie bine verificați deoarece există riscul unor mari înșelăciuni.","Ce au invatat in primii cinci ai de activitate antreprenoriala cativa dintre oamenii de afaceri de pe piata locala? Bibiana Stanciulov, antreprenoarea care a pus bazele brandului Magiun de Prune de Topoloveni (operat de compania Sonimpex Topoloveni) spune ca in primii cinci ani de activitate ai firmei, respectiv intre 1993 si 1998, a avut parte de cateva lectii despre care spune ca „acum mi se par glume”: 1. Partenerii de afaceri trebuie bine verificati deoarece exista riscul unor mari inselaciuni.","Ce au învățat în primii cinci ai de activitate antreprenorială câțiva dintre oamenii de afaceri de pe piața locală? Bibiana Stanciulov, antreprenoarea care a pus bazele brandului Magiun de Prune de Topoloveni (operat de compania Sonimpex Topoloveni) spune că în primii cinci ani de activitate ai firmei, respectiv între 1993 și 1998, a avut parte de câteva lecții despre care spune că „acum mi se par glume”: 1. Partenerii de afaceri trebuie bine verificați deoarece există riscul unor mari înșelăciuni.","Ce au invatat in primii cinci ai de activitate antreprenoriala cativa dintre oamenii de afaceri de pe piata locala? Bibiana Stanciulov, antreprenoarea care a pus bazele brandului Magiun de Prune de Topoloveni (operat de compania Sonimpex Topoloveni) spune ca in primii cinci ani de activitate ai firmei, respectiv intre 1993 si 1998, a avut parte de cateva lectii despre care spune ca „acum mi se par glume”: 1. Partenerii de afaceri trebuie bine verificati deoarece exista riscul unor mari inselaciuni.",True,True,whitespace,False,503,0,0,0,0,0,True,True,503,21,0,0,1,0,True,False,503,0,0,0,0,0,True,True,503,21,0,0,0,0,True,False
167268,unknown_local_sample,"  157.798 de angajatori sunt pasibili cu inchisoarea acum n Conform Ministerului de Finante, din totalul de 583.170 de angajatori, persoane fizice sau juridice din Romania 157.798 de angajatori au restante de 15,99 miliarde lei in contul contributiilor sociale obligatorii pentru pensii, sanatate si somaj, conform declaratiilor fiscale, a deciziilor de impunere si a deciziilor de calcul accesorii si obligatii fiscale suplimentare emise de ANAF n Din informatiile declarate in Formularul 112 reiese ca la data de 30 septembrie 2017 acesti contribuabili aveau 2.076.097 de angajati n Dintre cei 157.798 de angajatori cu datorii la plata obligatiilor de asigurari sociale, 155.102 au capital privat, iar 2.696 au capital de stat sau majoritar de stat.","  157.798 de angajatori sunt pasibili cu închisoarea acum n Conform Ministerului de Finanțe, din totalul de 583.170 de angajatori, persoane fizice sau juridice din România 157.798 de angajatori au restanțe de 15,99 miliarde lei în contul contribuțiilor sociale obligatorii pentru pensii, sănătate și șomaj, conform declarațiilor fiscale, a deciziilor de impunere și a deciziilor de calcul accesorii și obligații fiscale suplimentare emise de ANAF n Din informațiile declarate în Formularul 112 reiese că la data de 30 septembrie 2017 acești contribuabili aveau 2.076.097 de angajați n Dintre cei 157.798 de angajatori cu datorii la plata obligațiilor de asigurări sociale, 155.102 au capital privat, iar 2.696 au capital de stat sau majoritar de stat.","157.798 de angajatori sunt pasibili cu inchisoarea acum n Conform Ministerului de Finante, din totalul de 583.170 de angajatori, persoane fizice sau juridice din Romania 157.798 de angajatori au restante de 15,99 miliarde lei in contul contributiilor sociale obligatorii pentru pensii, sanatate si somaj, conform declaratiilor fiscale, a deciziilor de impunere si a deciziilor de calcul accesorii si obligatii fiscale suplimentare emise de ANAF n Din informatiile declarate in Formularul 112 reiese ca la data de 30 septembrie 2017 acesti contribuabili aveau 2.076.097 de angajati n Dintre cei 157.798 de angajatori cu datorii la plata obligatiilor de asigurari sociale, 155.102 au capital privat, iar 2.696 au capital de stat sau majoritar de stat.","157.798 de angajatori sunt pasibili cu închisoarea acum n Conform Ministerului de Finanțe, din totalul de 583.170 de angajatori, persoane fizice sau juridice din România 157.798 de angajatori au restanțe de 15,99 miliarde lei în contul contribuțiilor sociale obligatorii pentru pensii, sănătate și șomaj, conform declarațiilor fiscale, a deciziilor de impunere și a deciziilor de calcul accesorii și obligații fiscale suplimentare emise de ANAF n Din informațiile declarate în Formularul 112 reiese că la data de 30 septembrie 2017 acești contribuabili aveau 2.076.097 de angajați n Dintre cei 157.798 de angajatori cu datorii la plata obligațiilor de asigurări sociale, 155.102 au capital privat, iar 2.696 au capital de stat sau majoritar de stat.","157.798 de angajatori sunt pasibili cu inchisoarea acum n Conform Ministerului de Finante, din totalul de 583.170 de angajatori, persoane fizice sau juridice din Romania 157.798 de angajatori au restante de 15,99 miliarde lei in contul contributiilor sociale obligatorii pentru pensii, sanatate si somaj, conform declaratiilor fiscale, a deciziilor de impunere si a deciziilor de calcul accesorii si obligatii fiscale suplimentare emise de ANAF n Din informatiile declarate in Formularul 112 reiese ca la data de 30 septembrie 2017 acesti contribuabili aveau 2.076.097 de angajati n Dintre cei 157.798 de angajatori cu datorii la plata obligatiilor de asigurari sociale, 155.102 au capital privat, iar 2.696 au capital de stat sau majoritar de stat.",True,True,whitespace,False,751,0,0,0,0,0,True,True,751,21,0,0,1,0,True,False,749,0,0,0,0,0,True,True,749,21,0,0,0,0,True,False
88866,unknown_local_sample,"Conform estimarilor sale, Zexe Cofeturi va ajunge la aproximativ 700.000 de euro cifra de afaceri, iar profitul va fi in jur de 15%.  Continuarea pe ZFCorporate   ZF Corporate este serviciul de business intelligence al Ziarului Financiar.","Conform estimărilor sale, Zexe Cofeturi va ajunge la aproximativ 700.000 de euro cifră de afaceri, iar profitul va fi în jur de 15%.  Continuarea pe ZFCorporate   ZF Corporate este serviciul de business intelligence al Ziarului Financiar.","Conform estimarilor sale, Zexe Cofeturi va ajunge la aproximativ 700.000 de euro cifra de afaceri, iar profitul va fi in jur de 15%. Continuarea pe ZFCorporate ZF Corporate este serviciul de business intelligence al Ziarului Financiar.","Conform estimărilor sale, Zexe Cofeturi va ajunge la aproximativ 700.000 de euro cifră de afaceri, iar profitul va fi în jur de 15%. Continuarea pe ZFCorporate ZF Corporate este serviciul de business intelligence al Ziarului Financiar.","Conform estimarilor sale, Zexe Cofeturi va ajunge la aproximativ 700.000 de euro cifra de afaceri, iar profitul va fi in jur de 15%. Continuarea pe ZFCorporate ZF Corporate este serviciul de business intelligence al Ziarului Financiar.",True,True,whitespace,False,238,0,0,0,0,0,True,True,238,3,0,0,2,0,True,False,235,0,0,0,0,0,True,True,235,3,0,0,0,0,True,False
162908,unknown_local_sample,  Articol publicat in editia tiparita a Ziarului Financiar din data de 29.11.2017.,  Articol publicat în ediția tipărită a Ziarului Financiar din data de 29.11.2017.,Articol publicat in editia tiparita a Ziarului Financiar din data de 29.11.2017.,Articol publicat în ediția tipărită a Ziarului Financiar din data de 29.11.2017.,Articol publicat in editia tiparita a Ziarului Financiar din data de 29.11.2017.,True,True,whitespace,False,82,0,0,0,0,0,True,True,82,4,0,0,1,0,True,False,80,0,0,0,0,0,True,True,80,4,0,0,0,0,True,False
61178,unknown_local_sample,"Stefan Vuza, proprietarul Chimcomplex: Daca Romania nu isi comaseaza combinatele chimice, asa cum au facut alte tari europene, acestea se vor inchide       .","Ștefan Vuza, proprietarul Chimcomplex: Dacă România nu își comasează combinatele chimice, așa cum au făcut alte țări europene, acestea se vor închide       .","Stefan Vuza, proprietarul Chimcomplex: Daca Romania nu isi comaseaza combinatele chimice, asa cum au facut alte tari europene, acestea se vor inchide .","Ștefan Vuza, proprietarul Chimcomplex: Dacă România nu își comasează combinatele chimice, așa cum au făcut alte țări europene, acestea se vor închide .","Stefan Vuza, proprietarul Chimcomplex: Daca Romania nu isi comaseaza combinatele chimice, asa cum au facut alte tari europene, acestea se vor inchide .",True,True,whitespace,False,157,0,0,0,0,0,True,True,157,11,0,0,4,0,True,False,151,0,0,0,0,0,True,True,151,11,0,0,0,0,True,False
