id,diacritics,no_diacritics
151189,"Are un salariu de 13.050 de lei, plătit din banii statului.","Are un salariu de 13.050 de lei, platit din banii statului."
24105,Acest tip de chist se rezolvă în cel mult câteva luni.,Acest tip de chist se rezolva in cel mult cateva luni.
334539,Între unul și altul este diversitate d-opiniune asupra mijloacelor fără a se atribui veriunuia din ei macula de nesinceritate.,Intre unul si altul este diversitate d-opiniune asupra mijloacelor fara a se atribui veriunuia din ei macula de nesinceritate.
180826,Nu îndrăznea să se agațe tam-nisam de oameni.,Nu indraznea sa se agate tam-nisam de oameni.
353212,Orînduitul mumbașir tutungi-bașa al măriei-sale au adus pe acești mai jos înaintea mea.,Orinduitul mumbasir tutungi-basa al mariei-sale au adus pe acesti mai jos inaintea mea.
17015,"Cumpăratorii de bună credință vor trebui să se îndrepte către persoanele care au săvârșit infracțiunile Conform unui proiect de lege văzut de ZF, denumit <<legea privind măsuri pentru protejarea intereselor economice ale statului>>, la articolul 12 se face referire despre titlurile de despăgubire și titlurile de conversie valorificate prin acțiuni emise de Fondul Proprietatea, dobândite prin acțiuni săvârșite în procedura de acordare a despăgubirilor aferente imobilelor preluate în mod abuziv la titlul VII din legea 247/2005 privind reforma în domeniile proprietății și justiției, precum și unele măsuri adiacente, cu modificările ulterioare, sunt lovite de nulitate absolută.","Cumparatorii de buna credinta vor trebui sa se indrepte catre persoanele care au savarsit infractiunile Conform unui proiect de lege vazut de ZF, denumit <<legea privind masuri pentru protejarea intereselor economice ale statului>>, la articolul 12 se face referire despre titlurile de despagubire si titlurile de conversie valorificate prin actiuni emise de Fondul Proprietatea, dobandite prin actiuni savarsite in procedura de acordare a despagubirilor aferente imobilelor preluate in mod abuziv la titlul VII din legea 247/2005 privind reforma in domeniile proprietatii si justitiei, precum si unele masuri adiacente, cu modificarile ulterioare, sunt lovite de nulitate absoluta."
256744,"Visul cînd s-ar întîmpla, Eu de pe tron aș cădea Ș-un alt împărat ca mine Nici veți mai găsi pe lume.","Visul cind s-ar intimpla, Eu de pe tron as cadea S-un alt imparat ca mine Nici veti mai gasi pe lume."
31360,"Decorul (Romulus Boicu) este structurat pe cele două planuri specifice regizorului, realitate/irealitate, conturînd un univers casnic, cu aparatură și mobile de familie, grădini și peluze bine îngrijite, cu mașini și garaje, dar și o secțiune de pădure încețoșată la înălțime, care trimite la o lume misterioasă, de afară și de deasupra, în care se ghicește libertatea.","Decorul (Romulus Boicu) este structurat pe cele doua planuri specifice regizorului, realitate/irealitate, conturind un univers casnic, cu aparatura si mobile de familie, gradini si peluze bine ingrijite, cu masini si garaje, dar si o sectiune de padure incetosata la inaltime, care trimite la o lume misterioasa, de afara si de deasupra, in care se ghiceste libertatea."
348358,Pe tonurile duioase și întunecate ale trîmbiței metalice se juca o veselie săltăreață.,Pe tonurile duioase si intunecate ale trimbitei metalice se juca o veselie saltareata.
227353,Viesperoaica fugi cu o falcă în cer și cu alta în pămînt.,Viesperoaica fugi cu o falca in cer si cu alta in pamint.
